"Theme","IndDropdown","TimePeriod","Sex","Age","CategoryType","Category","SubCategory","Count","Denominator","Value","LCI","UCI","YAxisLabel","ValueNote"
"Life expectancy","Life expectancy","2015","Male","All ages","England","England","England",NA,NA,79.4,79.4,79.5,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Male","All ages","England","England","England",NA,NA,79.4,79.4,79.5,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Female","All ages","England","England","England",NA,NA,83,82.9,83,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Female","All ages","England","England","England",NA,NA,83,82.9,83,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Male","All ages","England","England","England",NA,NA,79.6,79.5,79.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Male","All ages","England","England","England",NA,NA,79.6,79.5,79.6,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Female","All ages","England","England","England",NA,NA,83.2,83.1,83.2,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2016","Female","All ages","England","England","England",NA,NA,83.2,83.1,83.2,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Male","All ages","England","England","England",NA,NA,79.7,79.6,79.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Male","All ages","England","England","England",NA,NA,79.7,79.6,79.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Female","All ages","England","England","England",NA,NA,83.3,83.2,83.3,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2017","Female","All ages","England","England","England",NA,NA,83.3,83.2,83.3,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Male","All ages","England","England","England",NA,NA,79.6,79.6,79.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Male","All ages","England","England","England",NA,NA,79.6,79.6,79.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Female","All ages","England","England","England",NA,NA,83.2,83.2,83.3,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2018","Female","All ages","England","England","England",NA,NA,83.2,83.2,83.3,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Male","All ages","England","England","England",NA,NA,80,79.9,80,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Male","All ages","England","England","England",NA,NA,80,79.9,80,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Female","All ages","England","England","England",NA,NA,83.6,83.6,83.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2019","Female","All ages","England","England","England",NA,NA,83.6,83.6,83.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2020","Male","All ages","England","England","England",NA,NA,78.7,78.6,78.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2020","Female","All ages","England","England","England",NA,NA,82.6,82.6,82.7,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2021","Male","All ages","England","England","England",NA,NA,78.73,78.68,78.78,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2021","Female","All ages","England","England","England",NA,NA,82.75,82.7,82.8,"Life expectancy (years)",NA
"Life expectancy","Life expectancy","2015","Male","All ages","Region","East Midlands","East Midlands",NA,NA,79.2,79,79.4,"Life expectancy (years)",NA
